Location,Plug,Point_ID,Population,Plot,Point ID,Plot_Point,δ13CVPDB (‰),Total C (µg),Sample Weight (mg) from Sample List,Collection Date #1,Stem length (cm) #1,Filename of flower JPG #1,Flower Diameter #1 (cm),Collection Date #2,Stem length (cm) #2,Filename of flower JPG #2,Flower Diameter #2 (cm),Collection Date #3,Stem length (cm) #3,Filename of flower JPG #3,Flower Diameter #3 (cm),Date of sowing,Date of Germination,Date of First Flower,Date of First Fruit Collection,Date of Last Fruit Collection,Date of first (closed) fruit collection from envelope,Date of first (dehisced) fruit collection from envelope,Days from sowing to germination,Days from germination to flowering,Days from sowing to flowering,Days from Sowing to First Fruit collection,Days from first flower to first fruit,Total number of closed fruits collected (lifetime),Total number of filled seeds in all closed fruits,Mean seeds per closed fruit,Total number of dehisced fruits,Total number of all fruits,Above-ground Skeleton Biomass (g),,Notes
1.2.8,25A,BO_009,BO,9,P4,BO_009_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.8,25E,BO_009,BO,9,P5,BO_009_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.8,25I,BO_009,BO,9,P6,BO_009_P6,NA,NA,NA,4/22/19,3.5,IMG_4225,2.31,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.8,45A,BO_009,BO,9,P7,BO_009_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.8,45E,BO_009,BO,9,P8,BO_009_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.2.8,45I,BO_009,BO,9,P9,BO_009_P9,-30.3238,695.8552,2.2,4/22/19,3.9,IMG_4226,2.14,4/29/19,11,IMG_4442,2.06,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/28/19,6/3/19,5/28/19,NA,27,105,132,168,36,3,14,4.67,NA,3,0.159,,
1.3.0,5A,BO_010,BO,10,P1,BO_010_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.0,5E,BO_010,BO,10,P2,BO_010_P2,-30.0993,587.8561,1.8,4/22/19,11.4,IMG_4240,3.23,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/28/19,6/3/19,5/28/19,NA,27,105,132,168,36,2,17,8.5,NA,2,0.0365,,
1.3.0,5I,BO_010,BO,10,P3,BO_010_P3,-30.42,745.4565,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/28/19,5/28/19,5/28/19,NA,27,112,139,168,29,4,8,2,NA,4,0.0822,,
1.3.0,25A,BO_010,BO,10,P4,BO_010_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.0,25E,BO_010,BO,10,P5,BO_010_P5,-30.8841,114.1447,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0061,,
1.3.0,25I,BO_010,BO,10,P6,BO_010_P6,NA,NA,NA,4/22/19,5.8,IMG_4241,2.29,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.0,45A,BO_010,BO,10,P7,BO_010_P7,NA,NA,NA,4/22/19,4.2,IMG_4242,2.08,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.0,45E,BO_010,BO,10,P8,BO_010_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.0,45I,BO_010,BO,10,P9,BO_010_P9,-30.5719,868.3503,3,4/22/19,15,IMG_4244,2.11,4/22/19,12.4,IMG_4245,2.41,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,4,17,4.25,NA,4,0.1061,,
1.3.2,5A,BO_011,BO,11,P1,BO_011_P1,-30.4992,838.8652,2.8,4/22/19,8.1,IMG_4246,2.11,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,2,3,1.5,NA,2,0.0715,,
1.3.2,5E,BO_011,BO,11,P2,BO_011_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.2,5I,BO_011,BO,11,P3,BO_011_P3,-31.4039,529.7799,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,5/6/19,NA,27,112,139,NA,NA,2,0,0,NA,2,0.0283,,
1.3.2,25A,BO_011,BO,11,P4,BO_011_P4,-30.5445,548.7083,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,27,112,139,153,14,1,6,6,NA,1,0.0155,,
1.3.2,25E,BO_011,BO,11,P5,BO_011_P5,-30.5985,514.7063,1.1,4/22/19,10.2,IMG_4247,2.43,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/15/19,5/28/19,6/3/19,6/3/19,5/28/19,27,98,125,168,43,1,4,4,5,6,0.1083,,
1.3.2,25I,BO_011,BO,11,P6,BO_011_P6,-30.0378,432.0168,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,0.0133,,
1.3.2,45A,BO_011,BO,11,P7,BO_011_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.2,45E,BO_011,BO,11,P8,BO_011_P8,NA,NA,NA,4/22/19,9.5,IMG_4248,2.06,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,NA,NA,NA,NA,27,105,132,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.2,45I,BO_011,BO,11,P9,BO_011_P9,-31.2511,803.328,2.7,4/30/19,11.7,IMG_4445,1.92,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/15/19,5/13/19,6/3/19,5/14/19,NA,27,98,125,153,28,4,8,2,NA,4,0.0641,,
1.3.4,5A,BO_012,BO,12,P1,BO_012_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.4,5E,BO_012,BO,12,P2,BO_012_P2,-30.3736,681.7887,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/3/19,6/3/19,NA,27,112,139,174,35,1,2,2,NA,1,0.0377,,
1.3.4,5I,BO_012,BO,12,P3,BO_012_P3,-29.8757,473.648,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,NA,5/14/19,27,112,139,153,14,NA,NA,NA,1,1,0.0255,,
1.3.4,25A,BO_012,BO,12,P4,BO_012_P4,-30.9478,859.9893,2.6,4/22/19,6.3,IMG_4249,2.14,4/22/19,6.6,IMG_4250,2.23,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/11/19,5/14/19,6/11/19,27,105,132,153,21,2,3,1.5,1,3,0.0283,,
1.3.4,25E,BO_012,BO,12,P5,BO_012_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.4,25I,BO_012,BO,12,P6,BO_012_P6,-30.3528,1052.6737,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,34,105,139,153,14,1,6,6,NA,1,0.0351,,
1.3.4,45A,BO_012,BO,12,P7,BO_012_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.4,45E,BO_012,BO,12,P8,BO_012_P8,-29.9552,636.3029,2.4,4/22/19,5.9,IMG_4251,2.07,4/22/19,4.9,IMG_4252,2.16,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,2,6,3,NA,2,0.033,,
1.3.4,45I,BO_012,BO,12,P9,BO_012_P9,-30.7825,713.0961,1.9,4/22/19,2.6,IMG_4253,2.31,5/6/19,9,IMG_4496,1.35,5/6/19,8.5,IMG_4497,1.5,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,5/28/19,27,105,132,153,21,4,15,3.75,2,6,0.1122,,
1.3.6,5A,BO_013,BO,13,P1,BO_013_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,0.0068,,
1.3.6,5E,BO_013,BO,13,P2,BO_013_P2,-31.584,251.9584,0.9,4/22/19,8.1,IMG_4254,1.77,4/22/19,8.1,IMG_4255,1.68,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/3/19,6/11/19,27,105,132,174,42,1,1,1,1,2,0.0236,,flower #1 and #2 don't have fully open/flat petals; corolla diameter underestimated
1.3.6,5I,BO_013,BO,13,P3,BO_013_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.6,25A,BO_013,BO,13,P4,BO_013_P4,-31.1093,1150.8403,3.8,4/22/19,6.5,IMG_4256,2.06,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,4,4,NA,1,0.0295,,
1.3.6,25E,BO_013,BO,13,P5,BO_013_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.6,25I,BO_013,BO,13,P6,BO_013_P6,-31.4929,327.7467,1.1,4/22/19,7.6,IMG_4257,2.2,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/22/19,NA,NA,NA,NA,34,98,132,NA,NA,NA,NA,NA,NA,NA,0.0119,,
1.3.6,45A,BO_013,BO,13,P7,BO_013_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.6,45E,BO_013,BO,13,P8,BO_013_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.6,45I,BO_013,BO,13,P9,BO_013_P9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,0.0032,,
1.3.8,5A,BO_014,BO,14,P1,BO_014_P1,-30.4173,348.0086,1.1,4/22/19,10.2,IMG_4258,1.86,4/22/19,7.6,IMG_4259,2.17,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/3/19,NA,27,105,132,174,42,3,15,5,NA,3,0.0377,,flower #2 - petals not open/flat; measurement is underestimated
1.3.8,5E,BO_014,BO,14,P2,BO_014_P2,-31.2234,877.9476,3.1,4/22/19,7.2,IMG_4261,2.71,4/30/19,9.2,IMG_4446,1.83,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,1,5,5,NA,1,0.02,,
1.3.8,5I,BO_014,BO,14,P3,BO_014_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,6/14/19,NA,27,112,139,153,14,1,0,0,NA,1,NA,,
1.3.8,25A,BO_014,BO,14,P4,BO_014_P4,-29.9535,579.4396,2.2,4/30/19,12.5,IMG_4447,2.19,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/15/19,5/13/19,6/11/19,5/14/19,NA,27,98,125,153,28,3,5,1.67,NA,3,0.0361,,
1.3.8,25E,BO_014,BO,14,P5,BO_014_P5,-31.2472,352.7256,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/11/19,6/11/19,6/11/19,NA,27,112,139,182,43,1,2,2,NA,1,0.0047,,
1.3.8,25I,BO_014,BO,14,P6,BO_014_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.8,45A,BO_014,BO,14,P7,BO_014_P7,-30.1238,355.0849,1.5,5/6/19,7,IMG_4498,2.46,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,5/6/19,6/11/19,6/11/19,6/11/19,NA,27,119,146,182,36,1,4,4,NA,1,0.0203,,
1.3.8,45E,BO_014,BO,14,P8,BO_014_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.3.8,45I,BO_014,BO,14,P9,BO_014_P9,-30.6156,1024.0123,3.5,4/22/19,6.3,IMG_4262,1.88,5/14/19,12.8,IMG_4536,1.32,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/3/19,6/3/19,27,105,132,174,42,4,10,2.5,1,5,0.0607,,
1.4.0,5A,BO_015,BO,15,P1,BO_015_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.0,5E,BO_015,BO,15,P2,BO_015_P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/20/19,5/20/19,5/20/19,NA,27,105,132,160,28,1,0,0,NA,1,NA,,
1.4.0,5I,BO_015,BO,15,P3,BO_015_P3,-31.2147,460.7864,2.2,4/22/19,5.4,IMG_4281,2.3,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,1,2,2,NA,1,0.0123,,
1.4.0,25A,BO_015,BO,15,P4,BO_015_P4,-31.2538,578.7184,2.2,4/22/19,3.5,IMG_4282,2.34,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/28/19,5/28/19,NA,27,105,132,153,21,2,13,6.5,NA,2,0.0192,,
1.4.0,25E,BO_015,BO,15,P5,BO_015_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.0,25I,BO_015,BO,15,P6,BO_015_P6,-32.0903,555.1843,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,NA,NA,NA,NA,27,112,139,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.0,45A,BO_015,BO,15,P7,BO_015_P7,-29.8354,769.1103,2.7,4/22/19,8.9,IMG_4283,2.94,4/22/19,7.5,IMG_4284,2.67,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/3/19,5/14/19,NA,27,105,132,153,21,3,19,6.33,NA,3,0.0494,,
1.4.0,45E,BO_015,BO,15,P8,BO_015_P8,-30.1314,629.784,2.1,4/22/19,10.6,IMG_4285,2.52,4/30/19,11.5,IMG_4448,1.48,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,5/13/19,5/14/19,NA,27,105,132,153,21,2,5,2.5,NA,2,0.0971,,flower #1 has 4 out of 5 folded petals; corolla measurement is underestimated
1.4.0,45I,BO_015,BO,15,P9,BO_015_P9,-28.3684,983.7429,2.8,4/22/19,9.6,IMG_4286,2.81,4/22/19,6.7,IMG_4287,2.79,6/3/19,15.5,IMG_3460,2.55,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,NA,27,105,132,174,42,1,1,1,NA,1,0.059,,
1.4.2,5A,BO_016,BO,16,P1,BO_016_P1,-30.7389,1020.2784,3.6,5/6/19,17.5,IMG_4499,2.02,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/3/19,6/11/19,27,105,132,174,42,8,20,2.5,NA,8,0.0864,,
1.4.2,5E,BO_016,BO,16,P2,BO_016_P2,-30.4661,686.6374,2.9,5/6/19,24,IMG_4500,2.22,5/14/19,21.5,IMG_4535,1.83,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/11/19,6/3/19,6/11/19,27,112,139,174,35,4,9,2.25,1,5,0.0759,,
1.4.2,5I,BO_016,BO,16,P3,BO_016_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.2,25A,BO_016,BO,16,P4,BO_016_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/3/19,6/3/19,NA,27,112,139,174,35,2,7,3.5,NA,2,NA,,
1.4.2,25E,BO_016,BO,16,P5,BO_016_P5,-30.7759,1188.8478,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/11/19,6/11/19,6/11/19,6/11/19,27,112,139,182,43,2,5,2.5,1,3,0.0618,,
1.4.2,25I,BO_016,BO,16,P6,BO_016_P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.2,45A,BO_016,BO,16,P7,BO_016_P7,-29.7706,919.1248,2.6,4/22/19,9.7,IMG_4279,2.32,4/30/19,15,IMG_4449,1.82,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,9,21,2.33,NA,9,0.357,,
1.4.2,45E,BO_016,BO,16,P8,BO_016_P8,-30.2077,248.9184,1.5,4/22/19,10.9,IMG_4280,2.35,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/28/19,6/3/19,5/28/19,NA,27,105,132,168,36,4,14,3.5,NA,4,0.0485,,
1.4.2,45I,BO_016,BO,16,P9,BO_016_P9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/28/19,6/3/19,5/28/19,NA,27,112,139,168,29,2,7,3.5,NA,2,NA,,
1.4.4,5A,BO_017,BO,17,P1,BO_017_P1,-30.5719,560.2235,1.8,4/22/19,15.3,IMG_4274,2.43,4/22/19,15.1,IMG_4275,2.7,4/22/19,11.5,IMG_4276,2.83,12/11/18,1/7/19,4/22/19,5/28/19,6/24/19,5/28/19,6/11/19,27,105,132,168,36,6,29,4.83,3,9,0.029,,
1.4.4,5E,BO_017,BO,17,P2,BO_017_P2,-30.356,768.134,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/11/19,NA,27,105,132,174,42,4,12,3,NA,4,0.0391,,
1.4.4,5I,BO_017,BO,17,P3,BO_017_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.4,25A,BO_017,BO,17,P4,BO_017_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.4,25E,BO_017,BO,17,P5,BO_017_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/29/19,6/3/19,6/11/19,6/3/19,NA,34,105,139,174,35,4,11,2.75,NA,4,NA,,
1.4.4,25I,BO_017,BO,17,P6,BO_017_P6,-29.9856,923.3238,2.9,4/22/19,9.8,IMG_4278,2.27,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/11/19,5/14/19,NA,27,105,132,153,21,3,9,3,NA,3,0.0618,,
1.4.4,45A,BO_017,BO,17,P7,BO_017_P7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,1,3,3,NA,1,NA,,
1.4.4,45E,BO_017,BO,17,P8,BO_017_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.4,45I,BO_017,BO,17,P9,BO_017_P9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.6,5A,BO_018,BO,18,P1,BO_018_P1,-30.0017,424.4198,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/3/19,6/3/19,NA,27,105,132,174,42,1,5,5,NA,1,0.0196,,
1.4.6,5E,BO_018,BO,18,P2,BO_018_P2,-30.4279,579.1992,1.6,4/22/19,7.7,IMG_4272,3.18,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,4/22/19,5/13/19,6/11/19,5/14/19,NA,34,98,132,153,21,3,10,3.33,NA,3,0.0585,,
1.4.6,5I,BO_018,BO,18,P3,BO_018_P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.6,25A,BO_018,BO,18,P4,BO_018_P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,5/13/19,5/14/19,NA,27,112,139,153,14,1,0,0,NA,1,NA,,
1.4.6,25E,BO_018,BO,18,P5,BO_018_P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.6,25I,BO_018,BO,18,P6,BO_018_P6,-28.8457,418.2509,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,5/13/19,6/11/19,5/14/19,6/11/19,27,112,139,153,14,3,7,2.33,1,4,0.0174,,
1.4.6,45A,BO_018,BO,18,P7,BO_018_P7,-30.5838,1140.2878,3.8,4/22/19,3.9,IMG_4273,2.08,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,5/13/19,6/11/19,5/14/19,NA,27,105,132,153,21,6,16,2.67,NA,6,0.0457,,
1.4.6,45E,BO_018,BO,18,P8,BO_018_P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/14/19,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.6,45I,BO_018,BO,18,P9,BO_018_P9,-30.2794,908.7565,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/3/19,6/11/19,6/3/19,NA,27,105,132,174,42,2,6,3,NA,2,0.0504,,
1.4.8,5A,BO_019,BO,19,P1,BO_019_P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1.4.8,5E,BO_019,BO,19,P2,BO_019_P2,-31.3308,446.2741,1.4,4/22/19,5.4,IMG_4268,1.69,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/22/19,6/11/19,6/11/19,6/11/19,NA,27,105,132,182,50,2,4,2,NA,2,0.0258,,
1.4.8,5I,BO_019,BO,19,P3,BO_019_P3,-30.7629,777.1676,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/18,1/7/19,4/29/19,6/3/19,6/11/19,6/3/19,NA,27,112,139,174,35,2,8,4,NA,2,0.0328,,
